origin,destination,mode,distance_meters,opens,closes,duration_min
MQ,Spittelberg,walking,64,10:00,21:30,1
MQ,Maria-Theresien-Platz,walking,247,11:00,21:00,4
MQ,Karlsplatz,transit,929,12:00,20:00,7
MQ,Adventmarkt Mariahilf,walking,635,09:00,20:00,10
Altes AKH,Türkenschanzpark,walking,3472,12:00,22:00,51
Altes AKH,Palais Liechtenstein,walking,1309,11:00,21:00,18
Altes AKH,Altwiener Christkindlmarkt,walking,1244,10:00,21:00,18
Altes AKH,Rathaus,walking,852,10:00,21:30,13
Altes AKH,Ottakringer Weihnachtszauber,transit,3613,11:00,22:00,21
Am Hof,Stephansplatz,walking,548,11:00,21:00,8
Am Hof,Altwiener Christkindlmarkt,walking,281,10:00,21:00,4
Am Hof,Bio-Markt Freyung,walking,262,10:00,19:30,4
Am Hof,Weihnachtsmarkt am Michaelerplatz,walking,445,10:00,20:00,6
Spittelberg,MQ,walking,64,14:00,23:00,1
Spittelberg,Maria-Theresien-Platz,walking,310,11:00,21:00,5
Stephansplatz,Am Hof,walking,548,10:00,21:00,8
Stephansplatz,Karlsplatz,walking,1214,12:00,20:00,17
Stephansplatz,Prater / Riesenrad,transit,2936,11:00,22:00,17
Stephansplatz,Weihnachtsmarkt am Michaelerplatz,walking,679,10:00,20:00,10
Stephansplatz,Advent in der Stallburg,walking,709,11:00,20:00,10
Stephansplatz,Adventmark Verkehrsmuseum Remise,transit,3635,14:00,21:00,17
Opera,Türkenschanzpark,transit,6773,12:00,22:00,30
Opera,Schönbrunn,walking,1555,10:00,21:00,22
Opera,IKEA Westbahnhof,walking,2697,14:00,20:00,38
Opera,Meidlinger Platzl,walking,2218,10:00,20:30,31
Opera,Ottakringer Weihnachtszauber,walking,3124,11:00,22:00,45
Türkenschanzpark,Altes AKH,walking,3472,11:00,23:00,47
Türkenschanzpark,Opera,transit,6773,11:00,21:00,30
Türkenschanzpark,Palais Liechtenstein,walking,2956,11:00,21:00,39
Türkenschanzpark,Schloss Wilhelminenberg,walking,5175,11:00,20:00,79
Türkenschanzpark,IKEA Westbahnhof,transit,6084,14:00,20:00,29
Türkenschanzpark,Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),transit,8491,09:00,21:00,33
Türkenschanzpark,Meidlinger Platzl,transit,8677,10:00,20:30,43
Türkenschanzpark,Ottakringer Weihnachtszauber,transit,4185,11:00,22:00,24
Maria-Theresien-Platz,MQ,walking,254,14:00,23:00,4
Maria-Theresien-Platz,Spittelberg,walking,310,10:00,21:30,5
Maria-Theresien-Platz,Karlsplatz,walking,859,12:00,20:00,12
Maria-Theresien-Platz,Rathaus,walking,687,10:00,21:30,10
Maria-Theresien-Platz,Weihnachtsmarkt am Michaelerplatz,walking,517,10:00,20:00,7
Maria-Theresien-Platz,Advent in der Stallburg,walking,546,11:00,20:00,8
Blumengärten Hirschstetten,Messe,transit,10247,14:00,22:00,37
Blumengärten Hirschstetten,Prater / Riesenrad,transit,8628,11:00,22:00,39
Blumengärten Hirschstetten,Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),transit,6509,09:00,21:00,30
Blumengärten Hirschstetten,Adventmark Verkehrsmuseum Remise,transit,13578,14:00,21:00,51
