origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
MQ                                                 , Altes AKH                                          , walking,            1529, 1.5 km       ,             1303, 22 mins        ,                            , 
MQ                                                 , Am Hof                                             , walking,            1365, 1.4 km       ,             1120, 19 mins        ,                            , 
MQ                                                 , Spittelberg                                        , walking,              64, 64 m         ,               58, 1 min          ,                            , 
MQ                                                 , Stephansplatz                                      , walking,            1656, 1.7 km       ,             1343, 22 mins        ,                            , 
MQ                                                 , Opera                                              , walking,            4473, 4.5 km       ,             3735, 1 hour 2 mins  ,                            , 
MQ                                                 , Türkenschanzpark                                   , walking,            4736, 4.7 km       ,             4118, 1 hour 9 mins  ,                            , 
MQ                                                 , Maria-Theresien-Platz                              , walking,             247, 0.2 km       ,              205, 3 mins         ,                            , 
MQ                                                 , Blumengärten Hirschstetten                         , walking,           11758, 11.8 km      ,             9756, 2 hours 43 mins,                            , 
MQ                                                 , Palais Liechtenstein                               , walking,            2407, 2.4 km       ,             1958, 33 mins        ,                            , 
MQ                                                 , Belvedere                                          , walking,            2332, 2.3 km       ,             1974, 33 mins        ,                            , 
MQ                                                 , Karlsplatz                                         , walking,             989, 1.0 km       ,              870, 15 mins        ,                            , 
MQ                                                 , Messe                                              , walking,            5059, 5.1 km       ,             4198, 1 hour 10 mins ,                            , 
MQ                                                 , Altwiener Christkindlmarkt                         , walking,            1218, 1.2 km       ,              980, 16 mins        ,                            , 
MQ                                                 , Biobauern-Adventmarkt                              , walking,            1992, 2.0 km       ,             1663, 28 mins        ,                            , 
MQ                                                 , Rathaus                                            , walking,             869, 0.9 km       ,              720, 12 mins        ,                            , 
MQ                                                 , Schönbrunn                                         , walking,            5747, 5.7 km       ,             4877, 1 hour 21 mins ,                            , 
MQ                                                 , Prater / Riesenrad                                 , walking,            3901, 3.9 km       ,             3210, 54 mins        ,                            , 
MQ                                                 , Mittelalterlicher Adventmarkt                      , walking,            1992, 2.0 km       ,             1663, 28 mins        ,                            , 
MQ                                                 , Weihnachtsmarkt am Michaelerplatz                  , walking,            1026, 1.0 km       ,              828, 14 mins        ,                            , 
MQ                                                 , Schloss Wilhelminenberg                            , walking,            6076, 6.1 km       ,             5595, 1 hour 33 mins ,                            , 
MQ                                                 , Advent in der Stallburg                            , walking,            1055, 1.1 km       ,              857, 14 mins        ,                            , 
MQ                                                 , Adventmarkt Mariahilf                              , walking,             635, 0.6 km       ,              561, 9 mins         ,                            , 
MQ                                                 , IKEA Westbahnhof                                   , walking,            1977, 2.0 km       ,             1704, 28 mins        ,                            , 
MQ                                                 , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            7430, 7.4 km       ,             6166, 1 hour 43 mins ,                            , 
MQ                                                 , Adventmark Verkehrsmuseum Remise                   , walking,            4116, 4.1 km       ,             3421, 57 mins        ,                            , 
MQ                                                 , Weihnacht im Wald                                  , walking,            1936, 1.9 km       ,             1588, 26 mins        ,                            , 
MQ                                                 , Adventmarkt Favoriten                              , walking,            1992, 2.0 km       ,             1663, 28 mins        ,                            , 
MQ                                                 , Winterzauber im Böhmischen Prater                  , walking,            5766, 5.8 km       ,             4890, 1 hour 22 mins ,                            , 
MQ                                                 , Adventmarkt Meidling                               , walking,            1992, 2.0 km       ,             1663, 28 mins        ,                            , 
MQ                                                 , Ottakringer Weihnachtszauber                       , walking,            4056, 4.1 km       ,             3494, 58 mins        ,                            , 
MQ                                                 , Adventmarkt im Schloss Neugebäude                  , walking,            8371, 8.4 km       ,             6860, 1 hour 54 mins ,                            , 
Altes AKH                                          , MQ                                                 , walking,            1529, 1.5 km       ,             1329, 22 mins        ,                            , 
