origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
MQ                                                 , Altes AKH                                          ,1529,1303,22,,
MQ                                                 , Am Hof                                             ,1365,1120,19,,
MQ                                                 , Spittelberg                                        ,64,58,1,,
MQ                                                 , Stephansplatz                                      ,1656,1343,23,,
MQ                                                 , Opera                                              ,4473,3735,63,,
MQ                                                 , Türkenschanzpark                                   ,4736,4118,69,,
MQ                                                 , Maria-Theresien-Platz                              ,247,205,4,,
MQ                                                 , Blumengärten Hirschstetten                         ,11758,9756,163,,
MQ                                                 , Palais Liechtenstein                               ,2407,1958,33,,
MQ                                                 , Belvedere                                          ,2332,1974,33,,
MQ                                                 , Karlsplatz                                         ,989,870,15,,
MQ                                                 , Messe                                              ,5059,4198,70,,
MQ                                                 , Altwiener Christkindlmarkt                         ,1218,980,17,,
MQ                                                 , Biobauern-Adventmarkt                              ,1992,1663,28,,
MQ                                                 , Rathaus                                            ,869,720,12,,
MQ                                                 , Schönbrunn                                         ,5747,4877,82,,
MQ                                                 , Prater / Riesenrad                                 ,3901,3210,54,,
MQ                                                 , Mittelalterlicher Adventmarkt                      ,1992,1663,28,,
MQ                                                 , Weihnachtsmarkt am Michaelerplatz                  ,1026,828,14,,
MQ                                                 , Schloss Wilhelminenberg                            ,6076,5595,94,,
MQ                                                 , Advent in der Stallburg                            ,1055,857,15,,
MQ                                                 , Adventmarkt Mariahilf                              ,635,561,10,,
MQ                                                 , IKEA Westbahnhof                                   ,1977,1704,29,,
MQ                                                 , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),7430,6166,103,,
MQ                                                 , Adventmark Verkehrsmuseum Remise                   ,4116,3421,58,,
MQ                                                 , Weihnacht im Wald                                  ,1936,1588,27,,
MQ                                                 , Adventmarkt Favoriten                              ,1992,1663,28,,
MQ                                                 , Winterzauber im Böhmischen Prater                  ,5766,4890,82,,
MQ                                                 , Adventmarkt Meidling                               ,1992,1663,28,,
MQ                                                 , Ottakringer Weihnachtszauber                       ,4056,3494,59,,
MQ                                                 , Adventmarkt im Schloss Neugebäude                  ,8371,6860,115,,
Altes AKH                                          , MQ                                                 ,1529,1329,23,,
Altes AKH                                          , Am Hof                                             ,1525,1263,22,,
Altes AKH                                          , Spittelberg                                        ,1592,1386,24,,
Altes AKH                                          , Stephansplatz                                      ,2025,1656,28,,
Altes AKH                                          , Opera                                              ,5438,4576,77,,
Altes AKH                                          , Türkenschanzpark                                   ,3472,3050,51,,
Altes AKH                                          , Maria-Theresien-Platz                              ,1533,1294,22,,
Altes AKH                                          , Blumengärten Hirschstetten                         ,11610,9702,162,,
Altes AKH                                          , Palais Liechtenstein                               ,1309,1053,18,,
Altes AKH                                          , Belvedere                                          ,4071,3426,58,,
Altes AKH                                          , Karlsplatz                                         ,2620,2168,37,,
Altes AKH                                          , Messe                                              ,4901,4104,69,,
Altes AKH                                          , Altwiener Christkindlmarkt                         ,1244,1029,18,,
Altes AKH                                          , Biobauern-Adventmarkt                              ,3741,3138,53,,
Altes AKH                                          , Rathaus                                            ,852,729,13,,
Altes AKH                                          , Schönbrunn                                         ,6975,5848,98,,
Altes AKH                                          , Prater / Riesenrad                                 ,3878,3232,54,,
Altes AKH                                          , Mittelalterlicher Adventmarkt                      ,3741,3138,53,,
Altes AKH                                          , Weihnachtsmarkt am Michaelerplatz                  ,1599,1338,23,,
Altes AKH                                          , Schloss Wilhelminenberg                            ,5271,4927,83,,
Altes AKH                                          , Advent in der Stallburg                            ,1722,1441,25,,
Altes AKH                                          , Adventmarkt Mariahilf                              ,2313,1975,33,,
Altes AKH                                          , IKEA Westbahnhof                                   ,3231,2788,47,,
Altes AKH                                          , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),6498,5398,90,,
Altes AKH                                          , Adventmark Verkehrsmuseum Remise                   ,5122,4222,71,,
Altes AKH                                          , Weihnacht im Wald                                  ,3531,2935,49,,
Altes AKH                                          , Adventmarkt Favoriten                              ,3741,3138,53,,
Altes AKH                                          , Winterzauber im Böhmischen Prater                  ,7452,6333,106,,
Altes AKH                                          , Adventmarkt Meidling                               ,3741,3138,53,,
Altes AKH                                          , Ottakringer Weihnachtszauber                       ,3645,3184,54,,
Altes AKH                                          , Adventmarkt im Schloss Neugebäude                  ,9996,8222,138,,
Am Hof                                             , MQ                                                 ,1365,1181,20,,
Am Hof                                             , Altes AKH                                          ,1516,1315,22,,
Am Hof                                             , Spittelberg                                        ,1429,1239,21,,
Am Hof                                             , Stephansplatz                                      ,548,433,8,,
Am Hof                                             , Opera                                              ,5941,4983,84,,
Am Hof                                             , Türkenschanzpark                                   ,4208,3716,62,,
Am Hof                                             , Maria-Theresien-Platz                              ,951,799,14,,
Am Hof                                             , Blumengärten Hirschstetten                         ,10551,8803,147,,
Am Hof                                             , Palais Liechtenstein                               ,1663,1358,23,,
Am Hof                                             , Belvedere                                          ,2774,2349,40,,
Am Hof                                             , Karlsplatz                                         ,1506,1236,21,,
Am Hof                                             , Messe                                              ,3791,3163,53,,
